,,,,,,Daily Price Report-01-01-2022 to 31-12-2022 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,875.00,500.00,Rs./Quintal,31-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,800.00,450.00,Rs./Quintal,30-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,875.00,450.00,Rs./Quintal,29-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,750.00,400.00,Rs./Quintal,28-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,600.00,350.00,Rs./Quintal,25-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,700.00,400.00,Rs./Quintal,21-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,650.00,400.00,Rs./Quintal,20-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,635.00,375.00,Rs./Quintal,19-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,750.00,400.00,Rs./Quintal,15-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,700.00,400.00,Rs./Quintal,14-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,750.00,400.00,Rs./Quintal,13-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,600.00,375.00,Rs./Quintal,12-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,500.00,325.00,Rs./Quintal,09-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,650.00,375.00,Rs./Quintal,07-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,800.00,500.00,Rs./Quintal,04-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,000.00",600.00,Rs./Quintal,03-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","2,700.00","2,000.00",Rs./Quintal,02-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,875.00,600.00,Rs./Quintal,01-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,000.00",550.00,Rs./Quintal,30-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,250.00",700.00,Rs./Quintal,29-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,250.00",700.00,Rs./Quintal,28-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,"2,500.00","4,000.00","3,400.00",Rs./Quintal,26-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,875.00,500.00,Rs./Quintal,25-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,750.00,400.00,Rs./Quintal,23-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,750.00,400.00,Rs./Quintal,22-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,650.00,375.00,Rs./Quintal,21-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,550.00,350.00,Rs./Quintal,19-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,625.00,375.00,Rs./Quintal,18-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,650.00,400.00,Rs./Quintal,17-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,600.00,350.00,Rs./Quintal,16-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,100.00,500.00,250.00,Rs./Quintal,15-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,100.00,500.00,250.00,Rs./Quintal,14-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,000.00",750.00,Rs./Quintal,09-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00","1,000.00",Rs./Quintal,08-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00","1,000.00",Rs./Quintal,07-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,605.00","1,100.00",Rs./Quintal,06-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,625.00","1,125.00",Rs./Quintal,05-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,625.00","1,000.00",Rs./Quintal,04-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00","1,000.00",Rs./Quintal,03-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,000.00","1,250.00",Rs./Quintal,02-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,000.00","1,375.00",Rs./Quintal,01-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,000.00","1,250.00",Rs./Quintal,30-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,250.00","2,250.00",Rs./Quintal,27-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,000.00","2,000.00",Rs./Quintal,26-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,250.00","2,000.00",Rs./Quintal,25-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,125.00","2,000.00",Rs./Quintal,24-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,750.00","2,250.00",Rs./Quintal,23-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"4,750.00","2,750.00",Rs./Quintal,22-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"4,500.00","2,500.00",Rs./Quintal,21-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"4,500.00","2,500.00",Rs./Quintal,16-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"5,000.00","3,000.00",Rs./Quintal,15-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,500.00,"4,000.00","2,625.00",Rs./Quintal,13-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,500.00,"3,625.00","2,500.00",Rs./Quintal,12-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,750.00","2,250.00",Rs./Quintal,11-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,500.00","2,125.00",Rs./Quintal,10-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,250.00","2,000.00",Rs./Quintal,09-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,250.00","1,750.00",Rs./Quintal,05-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"3,750.00","2,250.00",Rs./Quintal,02-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"3,000.00","1,875.00",Rs./Quintal,01-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,500.00","1,500.00",Rs./Quintal,30-09-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"3,000.00","2,000.00",Rs./Quintal,29-09-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,500.00","1,500.00",Rs./Quintal,28-09-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"3,250.00","2,000.00",Rs./Quintal,27-09-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,500.00","1,500.00",Rs./Quintal,22-09-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"3,000.00","1,750.00",Rs./Quintal,21-09-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"3,000.00","1,750.00",Rs./Quintal,18-09-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,250.00","1,375.00",Rs./Quintal,15-09-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,750.00","1,500.00",Rs./Quintal,14-09-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"3,500.00","2,000.00",Rs./Quintal,13-09-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,555.00","1,000.00",Rs./Quintal,07-09-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,250.00","1,250.00",Rs./Quintal,06-09-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"2,750.00","1,625.00",Rs./Quintal,04-09-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00",950.00,Rs./Quintal,31-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,375.00",875.00,Rs./Quintal,30-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00","1,000.00",Rs./Quintal,29-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00",875.00,Rs./Quintal,24-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00","1,000.00",Rs./Quintal,23-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,250.00",800.00,Rs./Quintal,22-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,375.00",800.00,Rs./Quintal,20-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00","1,000.00",Rs./Quintal,19-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,375.00",900.00,Rs./Quintal,17-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00",875.00,Rs./Quintal,16-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,"1,000.00","1,750.00","1,250.00",Rs./Quintal,15-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,625.00",900.00,Rs./Quintal,14-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,750.00","1,000.00",Rs./Quintal,13-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,125.00","1,250.00",Rs./Quintal,12-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,000.00","1,125.00",Rs./Quintal,11-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,750.00","1,000.00",Rs./Quintal,10-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,625.00",875.00,Rs./Quintal,09-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00",750.00,Rs./Quintal,08-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,625.00","1,000.00",Rs./Quintal,07-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,750.00","1,000.00",Rs./Quintal,06-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,750.00","1,125.00",Rs./Quintal,03-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,000.00","1,125.00",Rs./Quintal,02-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00","1,000.00",Rs./Quintal,01-08-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,125.00",625.00,Rs./Quintal,28-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,250.00",800.00,Rs./Quintal,27-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,250.00",750.00,Rs./Quintal,26-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,125.00",625.00,Rs./Quintal,25-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,000.00",600.00,Rs./Quintal,24-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,300.00",750.00,Rs./Quintal,23-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,250.00",750.00,Rs./Quintal,22-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,250.00",750.00,Rs./Quintal,21-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,125.00",650.00,Rs./Quintal,20-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,375.00",850.00,Rs./Quintal,19-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,250.00",750.00,Rs./Quintal,18-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,000.00",700.00,Rs./Quintal,17-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,750.00","1,000.00",Rs./Quintal,16-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00",875.00,Rs./Quintal,15-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,125.00",750.00,Rs./Quintal,14-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,665.00","1,000.00",Rs./Quintal,13-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,250.00","1,375.00",Rs./Quintal,12-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,250.00","1,375.00",Rs./Quintal,11-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,000.00","1,500.00",Rs./Quintal,10-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00","1,000.00",Rs./Quintal,09-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,255.00,"1,800.00","1,255.00",Rs./Quintal,08-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,750.00","1,250.00",Rs./Quintal,07-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,125.00","1,500.00",Rs./Quintal,06-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,250.00","1,625.00",Rs./Quintal,05-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,750.00","1,875.00",Rs./Quintal,04-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,250.00","1,500.00",Rs./Quintal,03-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,000.00","1,375.00",Rs./Quintal,02-07-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,750.00","1,750.00",Rs./Quintal,29-06-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"4,000.00","2,750.00",Rs./Quintal,28-06-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"4,000.00","2,750.00",Rs./Quintal,27-06-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"4,500.00","3,000.00",Rs./Quintal,26-06-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"4,850.00","3,500.00",Rs./Quintal,25-06-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,450.00,"4,500.00","3,250.00",Rs./Quintal,24-06-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"4,550.00","3,500.00",Rs./Quintal,23-06-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"5,250.00","3,750.00",Rs./Quintal,21-06-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"5,125.00","3,750.00",Rs./Quintal,20-06-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"5,000.00","3,750.00",Rs./Quintal,19-06-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"4,750.00","3,500.00",Rs./Quintal,18-06-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"4,750.00","3,500.00",Rs./Quintal,17-06-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"4,000.00","2,750.00",Rs./Quintal,16-06-2022
