,,,,,,Daily Price Report-01-01-2022 to 31-12-2022 for Maharashtra,,,,,
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"4,250.00","2,750.00",Rs./Quintal,14-06-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"5,000.00","3,500.00",Rs./Quintal,13-06-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"5,000.00","3,750.00",Rs./Quintal,12-06-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"5,250.00","3,750.00",Rs./Quintal,11-06-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"4,250.00","3,000.00",Rs./Quintal,10-06-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"4,250.00","3,000.00",Rs./Quintal,09-06-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"5,000.00","3,500.00",Rs./Quintal,08-06-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"5,500.00","4,000.00",Rs./Quintal,07-06-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"5,000.00","3,500.00",Rs./Quintal,03-06-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,600.00,"1,500.00","1,000.00",Rs./Quintal,30-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"5,500.00","3,750.00",Rs./Quintal,29-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"5,250.00","3,500.00",Rs./Quintal,28-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"5,000.00","3,125.00",Rs./Quintal,27-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"4,750.00","3,000.00",Rs./Quintal,26-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"3,750.00","2,500.00",Rs./Quintal,25-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"4,000.00","2,750.00",Rs./Quintal,24-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"5,500.00","4,000.00",Rs./Quintal,22-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"6,255.00","4,000.00",Rs./Quintal,21-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"6,005.00","4,000.00",Rs./Quintal,20-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"6,375.00","4,250.00",Rs./Quintal,19-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"4,750.00","3,000.00",Rs./Quintal,18-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"4,000.00","2,500.00",Rs./Quintal,17-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"3,800.00","2,250.00",Rs./Quintal,16-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"3,500.00","2,050.00",Rs./Quintal,15-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,375.00,"3,500.00","2,000.00",Rs./Quintal,14-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,375.00,"3,625.00","2,000.00",Rs./Quintal,10-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,750.00","2,000.00",Rs./Quintal,09-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,750.00","2,000.00",Rs./Quintal,08-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,450.00,"4,250.00","2,500.00",Rs./Quintal,03-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,500.00","2,250.00",Rs./Quintal,02-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,000.00","1,750.00",Rs./Quintal,01-05-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,60.00,411.00,220.00,Rs./Quintal,28-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,275.00,"1,750.00",900.00,Rs./Quintal,27-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00",875.00,Rs./Quintal,26-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,250.00","1,250.00",Rs./Quintal,25-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,750.00","1,000.00",Rs./Quintal,24-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,625.00",875.00,Rs./Quintal,23-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"1,625.00",850.00,Rs./Quintal,22-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,500.00",875.00,Rs./Quintal,21-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,375.00,"2,000.00","1,250.00",Rs./Quintal,19-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,750.00","1,150.00",Rs./Quintal,18-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,750.00","1,050.00",Rs./Quintal,17-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,750.00","1,050.00",Rs./Quintal,16-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,550.00","1,000.00",Rs./Quintal,15-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"1,400.00",900.00,Rs./Quintal,14-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,250.00",750.00,Rs./Quintal,13-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,250.00",750.00,Rs./Quintal,12-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,250.00",750.00,Rs./Quintal,11-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,125.00",750.00,Rs./Quintal,10-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,500.00",800.00,Rs./Quintal,08-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,625.00",875.00,Rs./Quintal,06-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,625.00",875.00,Rs./Quintal,05-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,000.00","1,100.00",Rs./Quintal,04-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","3,500.00","2,250.00",Rs./Quintal,03-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,750.00","1,000.00",Rs./Quintal,02-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,500.00","1,000.00",Rs./Quintal,01-04-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"1,500.00",800.00,Rs./Quintal,31-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,300.00,"1,400.00",875.00,Rs./Quintal,30-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"1,700.00","1,250.00",Rs./Quintal,29-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,750.00","1,000.00",Rs./Quintal,28-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,650.00","1,000.00",Rs./Quintal,27-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,500.00",900.00,Rs./Quintal,26-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,250.00",750.00,Rs./Quintal,25-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,250.00",750.00,Rs./Quintal,24-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,500.00","1,000.00",Rs./Quintal,23-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,800.00","1,100.00",Rs./Quintal,22-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,055.00","1,250.00",Rs./Quintal,21-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,750.00","1,100.00",Rs./Quintal,20-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"2,000.00","1,250.00",Rs./Quintal,19-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"2,250.00","1,350.00",Rs./Quintal,18-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,800.00","1,300.00",Rs./Quintal,17-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,750.00","1,000.00",Rs./Quintal,16-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,750.00","1,000.00",Rs./Quintal,15-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,750.00","1,000.00",Rs./Quintal,14-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,555.00","1,000.00",Rs./Quintal,13-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00","1,000.00",Rs./Quintal,12-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00","1,000.00",Rs./Quintal,11-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00","1,000.00",Rs./Quintal,10-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00","1,000.00",Rs./Quintal,09-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,625.00","1,000.00",Rs./Quintal,08-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"1,600.00",900.00,Rs./Quintal,07-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,555.00","1,000.00",Rs./Quintal,06-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,625.00","1,000.00",Rs./Quintal,05-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,750.00","1,000.00",Rs./Quintal,04-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,750.00","1,000.00",Rs./Quintal,03-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,"2,000.00","5,000.00","3,500.00",Rs./Quintal,02-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,750.00","1,000.00",Rs./Quintal,01-03-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,625.00","1,000.00",Rs./Quintal,28-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","4,000.00","2,800.00",Rs./Quintal,27-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,000.00","1,200.00",Rs./Quintal,26-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,875.00","1,150.00",Rs./Quintal,25-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,000.00","1,250.00",Rs./Quintal,24-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,055.00","1,250.00",Rs./Quintal,21-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,900.00","1,200.00",Rs./Quintal,20-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,000.00","1,250.00",Rs./Quintal,19-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"2,000.00","1,250.00",Rs./Quintal,16-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,750.00","1,100.00",Rs./Quintal,15-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,750.00","1,100.00",Rs./Quintal,14-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"1,500.00","1,000.00",Rs./Quintal,13-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"2,250.00","1,250.00",Rs./Quintal,12-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"2,000.00","1,250.00",Rs./Quintal,11-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"2,200.00","1,250.00",Rs./Quintal,10-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"2,250.00","1,250.00",Rs./Quintal,09-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"2,250.00","1,250.00",Rs./Quintal,08-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"2,000.00","1,200.00",Rs./Quintal,07-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"3,000.00","1,350.00",Rs./Quintal,06-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"3,250.00","1,500.00",Rs./Quintal,05-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,400.00,"3,250.00","1,500.00",Rs./Quintal,04-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,250.00","1,250.00",Rs./Quintal,03-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,250.00","1,300.00",Rs./Quintal,02-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,250.00","1,300.00",Rs./Quintal,01-02-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,200.00","1,300.00",Rs./Quintal,31-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,750.00","1,105.00",Rs./Quintal,30-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,000.00","1,250.00",Rs./Quintal,29-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,200.00","1,250.00",Rs./Quintal,28-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,750.00","1,105.00",Rs./Quintal,26-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,000.00","1,250.00",Rs./Quintal,25-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,375.00","1,375.00",Rs./Quintal,24-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,350.00","1,375.00",Rs./Quintal,23-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,125.00","1,250.00",Rs./Quintal,22-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,055.00","1,350.00",Rs./Quintal,21-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,875.00","1,250.00",Rs./Quintal,20-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,000.00","1,350.00",Rs./Quintal,19-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,000.00","1,350.00",Rs./Quintal,18-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,000.00","1,350.00",Rs./Quintal,17-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,125.00","1,350.00",Rs./Quintal,16-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,300.00","1,350.00",Rs./Quintal,15-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,250.00","1,375.00",Rs./Quintal,14-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,000.00","1,375.00",Rs./Quintal,13-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,125.00","1,375.00",Rs./Quintal,12-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,055.00","1,250.00",Rs./Quintal,10-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,900.00","1,250.00",Rs./Quintal,09-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,"1,250.00","2,500.00","2,300.00",Rs./Quintal,07-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,300.00","1,250.00",Rs./Quintal,06-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,750.00","1,500.00",Rs./Quintal,02-01-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"3,000.00","1,500.00",Rs./Quintal,01-01-2022

